author_year,selection,comparability,outcome,statistical,attrition,prognostic,overall
Alvarez 2012,Low,Low,Low,Low,Low,Low,Low
Bae 2021,Low,Moderate,Low,Low,Low,Low,Low
Blackberg 2022,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate
Blackberg 2023,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate
Chen 2020,Low,Moderate,Low,Low,Low,Low,Low
Chen 2023,Moderate,Low,Moderate,Low,Low,Moderate,Moderate
Choi 2012,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Cillóniz 2017,Low,Moderate,Low,Low,Low,Low,Low
Deguchi 2024,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate
Hamilton 2021,Low,Moderate,Moderate,Low,Low,Moderate,Moderate
Hou 2023,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Hsieh 2022,High,High,Moderate,Moderate,Low,High,Critical
Ji 2020,Moderate,Moderate,Moderate,Moderate,Low,High,High
Khatib 2005,Low,Low,Low,Low,Low,Low,Low
Kim 2010,Low,Low,Low,Low,Low,Low,Low
Laupland 2022,Moderate,Moderate,Low,Moderate,Low,Low,Moderate
Laupland 2024,Moderate,Moderate,Low,Moderate,Low,Low,Moderate
Liao 2009,Low,Moderate,Moderate,Low,Low,Moderate,Moderate
Marco 2025,Low,Moderate,Moderate,Moderate,Low,Low,Moderate
Marra 2006,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate
Melling 2019,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate
Minejima 2019,Moderate,Moderate,Low,Low,Low,Low,Moderate
Ok 2013,Low,Moderate,Low,Low,Low,Low,Moderate
Palmer 2013,Low,Low,Low,Low,Low,Low,Low
Papadimitriou-Olivgeris 2023,Moderate,Moderate,Low,Low,Low,Moderate,Moderate
Paquette 2021,Low,Low,Moderate,Low,Low,Low,Low
Peralta 2007,Low,Low,Low,Low,Low,Low,Low
Peri 2026,Moderate,Moderate,Moderate,Low,Low,Low,Moderate
Rolo 2022,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate
Santos-Patarroyo 2025,Moderate,Low,Low,Low,Moderate,Moderate,Moderate
Savithri 2011,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
Simeon 2019,Low,Moderate,Low,Low,Low,Moderate,Low
Takahashi 2022,Moderate,Low,Moderate,Low,Low,Moderate,Moderate
Tsai 2025,Moderate,Moderate,Low,Low,Moderate,Low,Moderate
Turkeltaub 2024,Moderate,Moderate,Moderate,Low,Low,High,Moderate
Zhang 2020,Moderate,Moderate,Moderate,Low,Low,Low,Moderate
Zhang 2021,Moderate,Low,Low,Low,Low,Moderate,Moderate
